Materiales,,,,,
,,,,,
,,,,,
,,,,,
Tubo PVC encolar ø125mm 10 atmósferas,,,"8,27 €",,https://mundoriego.es/producto/tubo-pvc-encolar-125mm-10-atmosferas/
,,,,,
Tapón PVC ø125mm encolar PN16,,,"14,04 €",,https://mundoriego.es/producto/tapon-pvc-o125mm-encolar-pn16/
,,,,,
Tubo PVC encolar ø63mm 16 atmósferas,,,"3,90 €",,https://mundoriego.es/producto/tubo-pvc-encolar-63mm-16-atmosferas/
,,,,,
Reducción cónica PVC ø125-ø63mm PN16,,,"7,75 €",,https://mundoriego.es/producto/reduccion-conica-pvc-125-63mm-pn16/
,,,,,
ADHESIVO PVC-50 PRESIÓN,,,"4,55 €",,https://www.obramat.es/productos/adhesivo-pvc-50-presion-250ml-collak-10492216.html
,,,,,
Bujia para motores de 4 t Garland,,,"2,99 €",,https://www.leroymerlin.es/productos/bujia-para-motores-de-4-t-garland-91599919.html
,,,,,
Válvula agrícola - Tractor TR618A,,,"2,09 €",,
,,,,,
Urban Gas para Mecheros Rellenable 300 ml con 5 Adaptadores,,,"5,99 €",,https://www.amazon.es/Gas-Para-Mecheros-Recargables-Adaptadores/dp/B09S6WCNGD?__mk_es_ES=%C3%85M%C3%85%C5%BD%C3%95%C3%91
,,,,,
,,,,,
,,,,,
,,Total,"49,58 €",,
